Year	Data	Err-	Err+
-632127.54000	193.10000	0.77500	0.77500
-630406.94000	196.50000	0.75500	0.75500
-629576.32000	200.46000	0.90500	0.90500
-627916.10000	200.78000	0.25000	0.25000
-627819.85000	205.27000	0.43500	0.43500
-627189.62000	199.52000	0.38500	0.38500
-625880.10000	205.76000	0.47000	0.47000
-625019.43000	215.71000	0.24000	0.24000
-624097.50000	228.51000	0.44000	0.44000
-623447.92000	235.02000	0.17500	0.17500
-622546.95000	237.93000	0.51000	0.51000
-621104.95000	239.19000	0.41500	0.41500
-621000.73000	243.89000	1.42000	1.42000
-619701.45000	243.53000	0.40500	0.40500
-618333.75000	245.89000	0.14500	0.14500
-617003.75000	248.29000	0.50000	0.50000
-615659.57000	252.64000	0.53000	0.53000
-614406.60000	252.73000	0.47000	0.47000
-614349.12000	252.90000	0.31000	0.31000
-613190.60000	252.75000	0.53000	0.53000
-611992.80000	256.19000	0.19500	0.19500
-610811.97000	258.14000	0.70500	0.70500
-609650.63000	259.68000	0.58000	0.58000
-609601.01000	257.82000	1.05500	1.05500
-608479.50000	257.74000	0.23000	0.23000
-607297.30000	259.22000	0.91000	0.91000
-606029.30000	254.58000	0.61000	0.61000
-604675.91000	248.48000	0.84000	0.84000
-603353.15000	244.53000	0.35000	0.35000
-601999.15000	239.14000	0.54500	0.54500
-600650.75000	237.86000	0.39500	0.39500
-599305.15000	232.45000	0.65000	0.65000
-597864.63000	229.38000	0.69500	0.69500
-597268.22000	225.97000	0.57000	0.57000
-596379.75000	219.02000	0.50000	0.50000
-595853.61000	216.27000	0.74000	0.74000
-594841.13000	216.44000	0.45500	0.45500
-594271.56000	221.22000	0.88500	0.88500
-593486.47000	232.92000	0.30000	0.30000
-592913.81000	237.98000	0.52500	0.52500
-592096.75000	238.15000	0.44500	0.44500
-591611.25000	233.16000	0.14000	0.14000
-590835.52000	229.39000	0.62500	0.62500
-590433.47000	225.68000	0.56500	0.56500
-589069.47000	237.38000	0.37500	0.37500
-588538.80000	243.56000	0.38000	0.38000
-588090.15000	248.10000	0.28000	0.28000
-587475.35000	250.20000	0.20000	0.20000
-586990.90000	246.35000	0.90000	0.90000
-586329.35000	238.78000	0.49000	0.49000
-585938.67000	234.40000	0.25000	0.25000
-585221.85000	225.99000	0.72500	0.72500
-584770.84000	223.96000	0.43500	0.43500
-582008.80000	210.64000	0.32000	0.32000
-581624.25000	206.68000	0.25500	0.25500
-580886.30000	209.88000	0.59000	0.59000
-580504.53000	215.45000	0.53500	0.53500
-579978.30000	219.41000	0.40500	0.40500
-579596.53000	225.21000	0.78500	0.78500
-579168.65000	230.26000	0.28500	0.28500
-578864.00000	236.17000	0.15000	0.15000
-578451.78000	243.81000	0.43500	0.43500
-578260.50000	244.14000	0.83500	0.83500
-577883.12000	251.47000	0.90000	0.90000
-577330.55000	252.92000	0.53500	0.53500
-576792.35000	249.06000	0.24000	0.24000
-576246.35000	251.08000	0.30000	0.30000
-575703.85000	251.34000	0.56500	0.56500
-575165.10000	251.30000	0.53000	0.53000
-574649.10000	252.90000	0.53000	0.53000
-574162.85000	252.54000	0.26000	0.26000
-573704.53000	248.86000	0.49000	0.49000
-573283.96000	252.08000	0.65000	0.65000
-572856.00000	251.86000	0.35000	0.35000
-572414.65000	251.77000	0.89000	0.89000
-571963.02000	248.72000	0.19500	0.19500
-571525.75000	249.19000	0.54000	0.54000
-571103.52000	247.66000	0.34000	0.34000
-570719.87000	246.31000	0.57500	0.57500
-570365.50000	250.30000	0.52000	0.52000
-570024.69000	251.60000	0.85000	0.85000
-569683.36000	249.60000	0.25000	0.25000
-569311.44000	251.80000	0.65000	0.65000
-568912.13000	251.80000	0.60000	0.60000
-568513.46000	251.30000	0.65000	0.65000
-568117.25000	250.00000	0.65000	0.65000
-567733.93000	251.30000	0.65000	0.65000
-567364.59000	250.20000	0.20000	0.20000
-566980.15000	253.00000	0.30000	0.30000
-566584.24000	252.80000	0.55000	0.55000
-566254.14000	253.90000	0.60000	0.60000
-565934.89000	253.20000	0.45000	0.45000
-565598.65000	254.50000	0.80000	0.80000
-565289.49000	253.90000	0.35000	0.35000
-564968.35000	254.30000	0.80000	0.80000
-564638.64000	253.70000	0.40000	0.40000
-564295.30000	251.40000	0.35000	0.35000
-563945.64000	252.60000	0.50000	0.50000
-563588.96000	252.40000	0.85000	0.85000
-563184.30000	251.40000	0.85000	0.85000
-562774.36000	247.60000	0.75000	0.75000
-562360.56000	245.80000	0.25000	0.25000
-561977.90000	245.70000	0.90000	0.90000
-561585.74000	242.30000	0.25000	0.25000
-561184.85000	240.10000	1.05000	1.05000
-560705.60000	234.10000	0.45000	0.45000
-560360.49000	234.60000	0.75000	0.75000
-559938.07000	231.90000	0.60000	0.60000
-559500.74000	231.60000	0.60000	0.60000
-559015.60000	228.30000	0.45000	0.45000
-558486.62000	230.30000	0.75000	0.75000
-557922.62000	230.20000	0.35000	0.35000
-557686.76000	229.70000	0.20000	0.20000
-557366.01000	234.50000	0.50000	0.50000
-556827.69000	238.10000	0.60000	0.60000
-556356.02000	240.40000	0.45000	0.45000
-556204.56000	245.60000	0.65000	0.65000
-555888.21000	250.50000	0.40000	0.40000
-555707.14000	244.00000	0.75000	0.75000
-555435.05000	249.10000	1.05000	1.05000
-555248.65000	243.00000	0.40000	0.40000
-554973.29000	241.00000	0.70000	0.70000
-554457.02000	233.90000	0.75000	0.75000
-553892.35000	226.70000	0.60000	0.60000
-553208.35000	224.30000	1.10000	1.10000
-552529.62000	223.60000	0.55000	0.55000
-551858.65000	220.30000	0.15000	0.15000
-551669.39000	222.10000	0.55000	0.55000
-551295.99000	226.30000	0.45000	0.45000
-551070.92000	222.30000	0.45000	0.45000
-550731.56000	221.70000	0.70000	0.70000
-550161.09000	219.90000	0.25000	0.25000
-549431.09000	215.20000	0.25000	0.25000
-548632.55000	213.60000	0.45000	0.45000
-548280.73000	208.80000	0.35000	0.35000
-547770.11000	202.50000	0.80000	0.80000
-546820.78000	204.60000	0.95000	0.95000
-545856.68000	209.70000	0.40000	0.40000
-544880.15000	209.60000	0.80000	0.80000
-543914.91000	210.30000	0.80000	0.80000
-542935.99000	208.10000	0.40000	0.40000
-541894.87000	203.60000	0.60000	0.60000
-540790.21000	205.00000	0.40000	0.40000
-539703.82000	211.20000	0.35000	0.35000
-538633.82000	212.90000	0.65000	0.65000
-537563.82000	206.40000	0.35000	0.35000
-536490.76000	205.00000	0.45000	0.45000
-535384.47000	199.40000	0.40000	0.40000
-534228.47000	199.80000	0.60000	0.60000
-533745.05000	190.50000	0.85000	0.85000
-533093.56000	193.80000	0.40000	0.40000
-532718.18000	195.10000	0.35000	0.35000
-531982.24000	200.00000	0.40000	0.40000
-531604.37000	204.40000	0.30000	0.30000
-531037.57000	211.40000	1.10000	1.10000
-530642.53000	214.50000	0.25000	0.25000
-530128.76000	220.70000	0.45000	0.45000
-529251.38000	220.30000	0.25000	0.25000
-528340.51000	221.20000	0.60000	0.60000
-527453.43000	222.70000	0.50000	0.50000
-526566.69000	224.70000	0.95000	0.95000
-525748.69000	227.80000	0.30000	0.30000
-524945.81000	230.30000	0.40000	0.40000
-524157.00000	233.70000	0.35000	0.35000
-523387.00000	235.80000	0.60000	0.60000
-522620.87000	236.80000	0.40000	0.40000
-521851.82000	241.90000	0.70000	0.70000
-519624.47000	243.50000	0.35000	0.35000
-518871.81000	245.50000	0.40000	0.40000
-518123.36000	247.70000	0.70000	0.70000
-517379.13000	245.30000	0.65000	0.65000
-516650.46000	245.50000	0.55000	0.55000
-515926.01000	246.20000	1.30000	1.30000
-515204.98000	247.20000	1.10000	1.10000
-514470.98000	243.00000	0.25000	0.25000
-513700.78000	241.50000	0.65000	0.65000
-512897.78000	239.20000	0.60000	0.60000
-512083.12000	238.20000	0.50000	0.50000
-511254.74000	242.00000	0.40000	0.40000
-510413.78000	235.20000	0.25000	0.25000
-509562.45000	236.40000	0.70000	0.70000
-508702.33000	233.40000	0.50000	0.50000
-507834.98000	240.30000	0.35000	0.35000
-506990.98000	237.00000	0.40000	0.40000
-506167.72000	238.20000	0.45000	0.45000
-505362.40000	236.00000	1.05000	1.05000
-504533.73000	235.50000	0.90000	0.90000
-503734.24000	233.90000	0.55000	0.55000
-502961.78000	234.10000	0.40000	0.40000
-502227.19000	232.20000	0.70000	0.70000
-501468.93000	232.00000	0.80000	0.80000
-500687.64000	231.20000	0.40000	0.40000
-499911.42000	230.80000	0.70000	0.70000
-499133.96000	228.20000	0.85000	0.85000
-498354.78000	230.80000	0.50000	0.50000
-497576.78000	230.60000	0.25000	0.25000
-496787.42000	232.80000	0.40000	0.40000
-496015.98000	236.50000	0.85000	0.85000
